编号1,编号2,编号3,编号4,编号5,存储内容,count
A,1,1,1,1,,1
A,1,1,1,2,,1
A,1,1,1,3,,1
A,1,1,1,4,,1
A,1,1,1,5,,1
A,1,1,2,1,,1
A,1,1,2,2,,1
A,1,1,2,3,,1
A,1,1,2,4,,1
A,1,1,2,5,,1
A,1,1,3,1,,1
A,1,1,3,2,,1
A,1,1,3,3,,1
A,1,1,3,4,,1
A,1,1,3,5,,1
A,1,1,4,1,,1
A,1,1,4,2,,1
A,1,1,4,3,,1
A,1,1,4,4,,1
A,1,1,4,5,,1
A,1,2,1,1,,1
A,1,2,1,2,,1
A,1,2,1,3,,1
A,1,2,1,4,,1
A,1,2,1,5,,1
A,1,2,2,1,,1
A,1,2,2,2,,1
A,1,2,2,3,,1
A,1,2,2,4,,1
A,1,2,2,5,,1
A,1,2,3,1,,1
A,1,2,3,2,,1
A,1,2,3,3,,1
A,1,2,3,4,,1
A,1,2,3,5,,1
A,1,2,4,1,,1
A,1,2,4,2,,1
A,1,2,4,3,,1
A,1,2,4,4,,1
A,1,2,4,5,,1
A,1,3,1,1,,1
A,1,3,1,2,,1
A,1,3,1,3,,1
A,1,3,1,4,,1
A,1,3,1,5,,1
A,1,3,2,1,,1
A,1,3,2,2,,1
A,1,3,2,3,,1
A,1,3,2,4,,1
A,1,3,2,5,,1
A,1,3,3,1,,1
A,1,3,3,2,,1
A,1,3,3,3,,1
A,1,3,3,4,,1
A,1,3,3,5,,1
A,1,3,4,1,,1
A,1,3,4,2,,1
A,1,3,4,3,,1
A,1,3,4,4,,1
A,1,3,4,5,,1
A,1,4,1,1,Dyt,1
A,1,4,1,2,Dyt,1
A,1,4,1,3,Dyt,1
A,1,4,1,4,Dyt,1
A,1,4,1,5,Dyt,1
A,1,4,2,1,Dyt,1
A,1,4,2,2,Dyt,1
A,1,4,2,3,Dyt,1
A,1,4,2,4,Dyt,1
A,1,4,2,5,Dyt,1
A,1,4,3,1,Dyt,1
A,1,4,3,2,Dyt,1
A,1,4,3,3,Dyt,1
A,1,4,3,4,Dyt,1
A,1,4,3,5,Dyt,1
A,1,4,4,1,Dyt,1
